"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84"
"Time",0.29,0.25,0.18,0.19,NA,0.02,0.04,1.2,NA,NA,NA,0.08,0.26,0.2,0.01,0.19,NA,0.01,2.43,0.07,NA,NA,NA,NA,0.26,0.26,0.26,0.2,0.02,NA,2.65,1.3,0.01,NA,NA,NA,0.19,0.2,0.19,0.17,NA,0.01,4.49,0.01,NA,NA,NA,0.04,0.2,0.18,0.17,0.22,1.01,NA,2.41,2.49,NA,NA,0.04,NA,0.18,0.21,0.16,0.2,1.21,NA,0.01,3.37,NA,0.04,0.08,NA,0.3,0.23,0.01,0.29,1.56,0.74,16.59,0.91,0.13,0.11,NA,0.05
"Time",0.21,0.22,0.25,0.01,NA,NA,0.09,0.02,NA,NA,NA,NA,0.2,0.17,0.18,0.19,NA,NA,1.51,1.36,NA,0.19,0.17,0.12,0.23,0.01,0.24,0.01,0.04,NA,1.33,1.41,NA,NA,NA,NA,0.01,0.2,0.2,0.18,NA,0.04,0.01,1.47,NA,NA,NA,NA,0.2,0.22,0.21,0.18,0.85,NA,4.57,7.68,NA,NA,NA,NA,0.23,0.19,0.01,0.01,16.48,NA,1.51,2.3,0.02,NA,NA,0.04,0.01,0.19,0.18,0.22,0.01,NA,5.49,0.02,NA,NA,NA,0.07
"Time",0.17,0.01,0.2,0.2,0.11,NA,0.02,1.35,NA,NA,0.14,NA,0.01,0.21,0.2,0.21,NA,NA,1.38,1.3,NA,NA,NA,NA,0.21,0.21,0.01,0.19,NA,0.02,1.44,2.6,NA,NA,NA,NA,0.02,0.01,0.31,0.19,NA,NA,3.44,2.46,NA,NA,NA,0.06,0.15,0.01,0.16,0.23,0.07,NA,1.48,4.52,0.05,NA,NA,NA,0.22,0.2,0.22,0.21,NA,NA,2.5,1.35,NA,NA,NA,0.01,0.21,0.17,0.28,0.16,NA,NA,5.51,1.61,NA,NA,NA,NA
"Time",0.26,0.01,0.01,0.2,NA,NA,0.02,1.23,NA,NA,NA,NA,0.17,0.24,0.01,0.2,NA,NA,2.38,2.36,NA,0.2,0.12,NA,0.22,0.19,0.21,0.21,NA,NA,0.05,1.34,NA,NA,NA,NA,0.18,0.22,0.22,0.01,NA,0.01,0.01,1.38,0.42,NA,NA,0.03,0.21,0.18,0.01,0.01,0.82,0.01,6.42,10.49,NA,NA,NA,0.02,0.22,0.19,0.21,0.21,0.02,NA,1.69,10.55,NA,NA,0.3,0.02,0.2,0.01,0.22,0.01,NA,NA,2.33,3.48,NA,NA,NA,NA
"Time",0.01,0.01,0.21,0.01,0.03,NA,1.23,0.01,NA,NA,NA,NA,0.25,0.28,0.01,0.2,NA,NA,1.45,1.48,NA,0.25,0.01,NA,0.17,0.01,0.01,0.18,NA,NA,0.02,1.42,NA,NA,0.2,NA,0.01,0.2,0.01,0.2,NA,2.44,1.35,1.24,0.05,0.06,NA,NA,0.19,0.22,0.27,0.21,NA,NA,2.89,1.4,NA,0.1,0.04,NA,0.21,0.22,0.17,0.25,0.02,14.58,3.44,0.01,NA,NA,NA,NA,0.03,0.25,0.17,0.16,1.68,0.01,8.61,0.02,0.05,NA,NA,NA
"Time",1.69,0.22,0.17,0.01,0.04,NA,0.02,0.05,NA,NA,NA,0.01,0.2,0.16,0.01,0.22,0.02,NA,3.54,1.48,NA,NA,NA,0.2,0.23,0.21,0.17,0.01,0.01,NA,0.05,1.39,NA,NA,NA,NA,0.23,0.31,0.23,0.23,NA,NA,1.44,1.46,NA,0.13,0.09,NA,0.01,0.2,0.22,0.01,1.16,NA,0.01,0.01,NA,NA,NA,0.35,0.2,0.2,0.17,0.16,NA,13.46,3.42,1.46,0.01,NA,NA,NA,0.01,0.15,0.17,0.19,0.88,1.11,2.51,5.49,0.04,NA,NA,NA
"Time",0.27,0.22,0.18,0.2,NA,0.03,1.2,1.42,NA,NA,NA,NA,0.19,0.2,0.17,0.16,NA,NA,1.4,2.36,0.04,0.02,0.04,NA,0.01,0.21,0.18,0.22,0.01,NA,0.1,1.41,NA,0.04,NA,NA,0.2,0.24,0.19,0.18,0.02,NA,1.43,1.45,0.01,NA,NA,NA,0.18,0.02,0.19,0.2,NA,6.58,2.59,12.43,0.04,NA,NA,NA,0.18,0.01,0.19,0.18,NA,NA,3.44,1.41,NA,NA,0.03,0.02,0.01,0.18,0.21,0.17,NA,0.92,2.42,0.64,NA,NA,NA,NA
"Time",0.21,0.22,0.2,0.18,4.7,NA,1.23,0.05,NA,NA,NA,NA,0.22,0.22,0.21,0.19,NA,10.58,3.55,0.02,NA,NA,NA,NA,0.01,0.01,0.19,0.23,NA,19.52,1.33,1.5,NA,0.06,0.03,NA,0.24,0.18,0.17,0.17,NA,0.01,0.02,0.04,NA,NA,NA,NA,0.22,0.19,0.25,0.22,0.98,0.01,2.68,9.5,NA,NA,NA,0.06,0.19,0.02,0.23,0.3,0.02,1.14,1.48,1.57,NA,NA,NA,NA,0.18,0.22,0.18,0.19,0.73,0.02,3.42,6.48,0.04,NA,NA,NA
"Time",0.19,0.01,0.22,0.17,NA,NA,1.18,1.22,NA,NA,0.04,NA,0.23,0.22,0.2,0.22,NA,NA,1.41,0.01,NA,0.07,0.21,0.06,0.01,0.17,0.01,0.19,NA,0.06,1.51,1.58,NA,NA,0.02,NA,0.24,0.19,0.21,0.01,NA,NA,1.6,1.37,NA,0.42,NA,0.01,0.2,0.22,0.21,0.21,1.07,0.03,0.01,0.01,NA,NA,NA,NA,0.17,0.01,0.22,0.2,0.81,0.03,2.43,2.43,0.28,NA,NA,0.24,0.2,0.17,0.01,0.21,2.66,8.74,0.01,6.53,NA,NA,NA,NA
"Time",0.22,0.2,0.18,0.24,NA,NA,0.03,0.08,NA,NA,NA,NA,0.18,0.24,0.16,0.18,0.02,NA,1.44,2.47,NA,NA,0.01,NA,0.24,0.21,0.01,0.01,NA,NA,1.5,2.53,0.09,NA,NA,0.06,0.2,0.18,0.18,0.17,NA,NA,3.59,1.35,0.06,NA,0.02,NA,0.26,0.01,0.18,0.18,NA,0.03,3.65,0.01,NA,0.03,NA,NA,0.26,0.01,0.19,0.2,0.01,0.08,1.24,3.5,NA,NA,NA,NA,0.21,0.23,0.17,0.17,0.01,0.03,3.44,2.37,NA,NA,NA,NA
"Time",0.25,0.01,0.18,0.01,NA,NA,1.5,1.26,NA,NA,NA,0.07,0.19,0.21,0.18,0.18,0.02,0.01,1.33,0.01,NA,NA,NA,NA,0.01,0.04,0.01,0.01,NA,NA,0.02,1.31,0.2,0.09,0.05,NA,0.25,0.01,0.19,0.01,0.03,0.01,0.13,0.04,NA,0.05,NA,NA,0.18,0.17,0.19,0.2,0.96,0.03,6.36,8.5,NA,0.09,NA,NA,0.22,0.01,0.19,0.01,NA,NA,0.04,1.59,NA,NA,NA,0.14,0.01,0.17,0.26,0.21,19.99,NA,5.5,0.69,NA,NA,NA,0.02
"Time",0.23,0.22,0.01,0.22,NA,0.01,3.25,0.01,NA,NA,NA,NA,0.24,0.2,0.01,0.23,NA,0.06,1.49,0.02,NA,NA,NA,NA,0.2,0.01,0.2,0.17,NA,3.57,1.33,0.01,NA,NA,NA,NA,0.27,0.2,0.17,0.01,NA,NA,0.01,0.01,0.02,NA,NA,NA,0.26,0.23,0.22,0.01,0.04,NA,1.64,0.03,NA,NA,NA,0.04,0.02,0.02,0.18,0.19,NA,NA,4.54,1.47,NA,NA,NA,NA,0.01,0.26,0.23,0.24,0.99,0.87,0.01,0.09,NA,NA,NA,0.01
"Time",0.23,0.19,0.19,0.2,NA,16.5,1.21,0.03,NA,NA,NA,NA,0.01,0.01,0.18,0.01,0.02,NA,0.02,1.31,NA,0.13,0.18,NA,0.18,0.22,0.01,0.01,NA,NA,1.43,0.03,NA,0.17,NA,NA,0.2,0.21,0.17,0.01,NA,NA,1.32,2.6,NA,NA,NA,NA,0.18,0.01,0.19,0.17,NA,14.58,1.6,2.55,0.35,NA,NA,NA,0.17,0.18,0.17,0.2,NA,11.43,1.48,3.5,0.09,NA,NA,NA,0.18,0.2,0.2,0.19,0.83,0.02,0.75,2.39,NA,NA,NA,NA
"Time",0.23,0.01,0.02,0.22,NA,NA,0.01,1.24,0.25,0.1,NA,NA,0.18,0.22,0.04,0.21,NA,0.02,1.3,1.37,NA,NA,NA,NA,0.22,0.02,0.19,0.23,0.05,17.42,2.6,0.02,NA,NA,NA,NA,0.15,0.22,0.19,0.19,NA,0.06,2.63,3.6,0.18,NA,0.07,NA,0.21,0.17,0.21,0.24,NA,0.02,2.24,1.41,NA,0.13,0.24,0.19,0.2,0.21,0.18,0.25,NA,NA,3.42,1.47,0.15,NA,0.22,NA,0.19,0.2,0.24,0.16,0.84,5.57,1.63,1.47,NA,0.05,NA,0.04
"Time",0.33,0.01,0.26,0.18,NA,0.01,1.4,1.27,NA,NA,NA,NA,0.2,0.22,0.18,0.19,0.01,0.06,1.35,1.43,0.03,NA,NA,NA,0.25,0.2,0.16,0.21,NA,13.55,1.48,1.45,NA,NA,NA,NA,0.02,0.18,0.28,0.22,NA,NA,1.5,1.47,NA,NA,NA,0.11,0.22,0.02,0.22,0.18,NA,0.03,0.03,0.7,NA,NA,NA,0.04,0.23,0.01,0.16,0.2,NA,NA,1.43,3.52,NA,0.01,NA,0.1,0.18,0.19,0.2,0.01,0.03,NA,0.03,1.63,0.09,0.2,NA,0.05
"Time",0.2,0.21,0.21,0.23,NA,0.02,1.34,1.28,NA,NA,0.01,NA,0.26,0.19,0.01,0.19,NA,12.44,0.01,1.39,NA,NA,NA,NA,0.02,0.19,0.18,0.17,NA,NA,0.01,0.02,NA,NA,NA,NA,0.19,0.2,0.18,0.21,NA,17.59,1.56,5.46,NA,NA,0.02,NA,0.16,0.01,0.01,0.17,NA,NA,2.48,0.03,NA,NA,0.02,NA,0.01,0.18,0.19,0.2,NA,12.52,0.01,1.57,NA,NA,0.02,NA,0.18,0.01,0.01,0.2,1.08,0.01,0.09,6.41,NA,NA,0.04,NA
"Time",0.27,0.18,0.01,0.19,NA,NA,1.26,1.33,0.03,NA,NA,NA,0.19,0.2,0.01,0.16,NA,NA,1.27,2.44,NA,NA,0.03,NA,0.22,0.22,0.01,0.19,NA,NA,1.46,0.01,NA,NA,NA,NA,0.21,0.18,0.24,0.19,NA,NA,2.4,3.44,0.07,NA,NA,0.02,0.01,0.27,0.18,0.21,1.51,NA,0.03,2.5,NA,0.01,NA,NA,0.23,0.2,0.23,0.2,NA,0.02,0.03,0.01,NA,NA,0.02,0.03,0.2,0.01,0.02,0.18,0.03,2.63,0.78,4.56,NA,NA,0.1,0.1
"Time",0.31,0.2,0.16,0.19,NA,NA,1.37,1.12,0.07,NA,NA,NA,0.19,0.23,0.21,0.18,NA,NA,0.08,0.01,0.05,0.07,NA,NA,0.46,0.2,0.21,0.28,NA,NA,1.59,1.55,NA,0.01,0.32,NA,0.01,0.19,0.01,0.2,NA,0.03,0.03,2.54,NA,NA,0.13,0.08,0.17,0.18,0.01,0.18,0.99,4.56,0.04,6.43,NA,NA,NA,NA,0.2,0.18,0.01,0.22,0.04,NA,0.02,1.23,NA,NA,NA,0.06,0.02,0.2,0.01,0.18,1.48,NA,4.6,2.77,NA,NA,0.25,NA
"Time",0.2,0.01,0.21,0.2,NA,NA,0.01,1.29,NA,NA,0.09,NA,0.01,0.2,0.01,0.26,0.02,NA,2.48,1.44,NA,NA,NA,NA,0.2,0.01,0.22,0.2,1.12,7.45,1.26,0.03,NA,0.03,NA,0.06,0.22,0.18,0.01,0.19,NA,15.39,0.1,3.49,NA,NA,NA,NA,0.25,0.2,0.01,0.2,0.06,NA,2.07,0.01,0.29,0.14,NA,NA,0.19,0.2,0.16,0.2,0.03,NA,0.04,1.58,NA,NA,NA,NA,0.01,0.23,0.23,0.22,NA,1.35,2.48,0.61,0.03,0.06,NA,NA
"Time",0.23,0.16,0.17,0.28,NA,0.07,1.24,1.21,NA,NA,NA,NA,0.19,0.17,0.17,0.21,0.02,0.02,1.36,0.17,NA,0.01,0.02,NA,0.22,0.02,0.23,0.21,0.01,NA,0.03,3.49,0.04,NA,NA,NA,0.2,0.01,0.27,0.21,NA,NA,2.5,1.36,0.01,NA,NA,NA,0.01,0.01,0.17,0.22,NA,0.03,3.44,4.39,NA,NA,0.26,NA,0.17,0.21,0.2,0.2,NA,NA,0.03,1.42,NA,NA,NA,NA,0.2,0.21,0.01,0.2,0.01,1.35,10.38,0.03,0.04,NA,NA,NA
"Time",0.34,0.23,0.19,0.17,0.03,0.01,1.19,1.32,NA,NA,NA,NA,0.25,0.01,0.23,0.21,NA,NA,1.31,2.66,0.04,NA,NA,NA,0.2,0.22,0.23,0.19,NA,7.35,0.01,1.38,0.01,NA,NA,0.09,0.17,0.18,0.2,0.2,1.25,NA,1.47,1.28,NA,NA,NA,NA,0.18,0.19,0.22,0.17,NA,NA,7.4,2.67,NA,NA,NA,NA,0.01,0.22,0.2,0.25,NA,NA,2.58,1.45,NA,NA,NA,NA,0.32,0.01,0.01,0.01,0.97,1.08,1.63,0.56,NA,NA,0.08,NA
"Time",0.16,0.19,0.2,0.01,NA,NA,1.3,1.47,NA,NA,NA,NA,0.18,0.21,0.01,0.2,0.02,13.52,0.05,0.02,NA,0.13,0.09,0.1,0.21,0.23,0.21,0.19,NA,NA,1.36,1.49,NA,0.05,NA,NA,0.24,0.21,0.16,0.19,NA,NA,4.54,0.02,0.07,NA,NA,NA,0.01,0.17,0.22,0.03,NA,NA,12.77,2.63,NA,NA,NA,NA,0.2,0.01,0.17,0.01,NA,17.8,0.02,3.57,NA,NA,NA,NA,0.2,0.01,0.2,0.2,0.01,NA,0.01,0.02,NA,NA,NA,0.36
"Time",0.01,0.24,0.01,0.3,NA,NA,1.35,1.31,0.38,NA,NA,NA,0.01,0.24,0.01,0.01,NA,NA,1.35,1.28,NA,NA,0.15,NA,0.22,0.01,0.19,0.18,NA,NA,0.03,1.38,NA,0.06,NA,0.05,0.25,0.23,0.01,0.01,0.85,NA,3.69,2.51,NA,NA,NA,NA,0.19,0.01,0.18,0.01,NA,0.01,4.76,2.51,0.09,NA,NA,NA,0.2,0.21,0.2,0.01,0.85,NA,2.41,0.01,0.01,NA,NA,NA,0.23,0.19,0.16,0.01,0.04,2.68,7.4,0.01,NA,0.03,0.05,NA
"Time",0.19,0.21,0.2,0.17,NA,16.37,1.47,1.35,NA,NA,0.04,0.01,0.01,0.23,0.22,0.01,0.02,0.03,1.43,1.5,NA,NA,NA,NA,0.01,0.19,0.19,0.23,0.01,NA,1.27,0.01,NA,0.04,NA,0.2,0.2,0.17,0.25,0.01,NA,NA,5.42,0.01,NA,NA,NA,NA,0.18,0.27,0.2,0.2,0.01,0.03,0.01,1.5,NA,NA,NA,NA,0.2,0.32,0.01,0.01,NA,NA,1.41,1.53,NA,NA,0.13,NA,0.24,0.19,0.22,0.01,NA,5.43,2.76,2.6,0.57,NA,0.03,NA
"Time",0.22,0.02,0.2,0.19,NA,0.03,1.32,1.38,0.01,NA,NA,NA,0.19,0.24,0.01,0.01,NA,NA,1.42,1.27,0.08,NA,NA,NA,0.01,0.22,0.01,0.01,0.03,NA,0.03,2.48,NA,NA,NA,NA,0.29,0.17,0.23,0.01,5.26,0.06,1.48,2.42,NA,0.25,NA,NA,0.24,0.2,0.24,0.2,0.82,NA,0.07,0.05,NA,NA,NA,0.02,0.19,0.01,0.22,0.01,NA,2.7,1.4,4.55,0.07,NA,NA,NA,0.18,0.18,0.24,0.18,1.09,8.95,0.02,0.06,NA,NA,0.01,NA
"Time",0.36,0.01,0.2,0.15,NA,NA,1.38,1.4,NA,NA,NA,NA,0.19,0.22,0.2,0.17,NA,0.03,0.01,1.39,NA,NA,NA,NA,0.17,0.21,0.17,0.01,0.03,0.03,4.41,0.02,NA,NA,NA,NA,0.2,0.24,0.2,0.15,NA,12.66,0.01,0.01,NA,NA,0.03,NA,0.01,0.25,0.01,0.24,NA,NA,2.63,0.05,NA,NA,NA,NA,0.2,0.17,0.01,0.18,NA,2.39,0.05,1.49,0.06,0.01,NA,0.01,0.21,0.2,0.02,0.17,1.03,13.82,2.38,0.02,NA,NA,NA,NA
"Time",0.01,0.02,0.02,0.01,NA,NA,1.28,1.21,NA,NA,NA,NA,0.22,0.23,0.01,0.01,NA,NA,1.47,1.35,NA,NA,NA,NA,0.18,0.22,0.21,0.21,0.06,NA,0.01,1.47,NA,NA,0.05,0.01,0.19,0.16,0.01,0.01,NA,NA,2.46,1.54,NA,NA,NA,0.01,0.22,0.23,0.19,0.22,0.01,NA,2.49,0.05,NA,NA,NA,0.03,0.27,0.01,0.01,0.19,NA,14.49,5.41,1.53,NA,0.01,NA,NA,0.2,0.17,0.21,0.2,1.08,0.02,6.53,2.58,NA,NA,0.42,0.17
"Time",0.22,0.24,0.2,0.02,NA,0.03,6.39,1.4,0.02,NA,NA,NA,0.24,0.19,0.18,0.26,NA,NA,0.02,1.37,NA,0.31,NA,NA,0.01,0.01,0.17,0.22,NA,0.02,0.01,1.5,NA,NA,0.42,0.04,0.29,0.02,0.22,0.01,0.01,0.01,0.01,0.01,NA,NA,NA,0.06,0.18,0.19,0.26,0.2,1.14,NA,1.62,0.01,0.01,NA,0.07,NA,0.26,0.23,0.18,0.2,0.07,NA,7.38,1.35,NA,NA,NA,0.06,0.01,0.23,0.22,0.16,1.08,0.95,0.01,3.71,NA,NA,NA,0.06
"Time",0.42,0.25,0.02,0.01,NA,3.66,2.58,2.39,NA,NA,0.08,NA,0.01,0.17,0.17,0.18,NA,NA,2.47,1.35,0.28,NA,0.33,NA,0.19,0.17,0.16,0.21,NA,NA,2.48,1.34,0.09,0.07,0.05,NA,0.01,0.24,0.01,0.21,0.04,NA,0.13,2.44,NA,NA,NA,NA,0.25,0.2,0.19,0.22,0.03,0.01,0.05,4.5,0.02,NA,NA,NA,0.01,0.18,0.18,0.23,7.38,NA,1.47,1.34,0.02,NA,0.29,0.21,0.23,0.23,0.19,0.19,0.01,0.01,6.4,2.64,0.06,NA,NA,NA
"Time",0.37,0.18,0.01,0.02,NA,0.02,2.3,1.24,NA,NA,NA,0.08,0.01,0.26,0.21,0.22,NA,0.06,1.49,1.29,NA,NA,NA,NA,0.24,0.2,0.02,0.19,0.02,NA,0.03,1.32,0.16,NA,NA,NA,0.23,0.02,0.01,0.3,NA,NA,4.47,6.42,0.05,NA,NA,NA,0.22,0.01,0.17,0.15,0.02,11.83,17.64,0.06,NA,0.17,NA,NA,0.22,0.19,0.18,0.23,0.99,0.01,0.04,6.39,NA,0.05,NA,NA,0.22,0.19,0.21,0.02,0.03,1.58,1.63,2.51,NA,NA,NA,0.01
"Time",0.18,0.01,0.2,0.2,NA,NA,1.52,0.01,NA,NA,NA,NA,0.24,0.01,0.2,0.23,NA,0.02,1.38,1.29,NA,NA,NA,0.04,0.16,0.19,0.25,0.21,NA,0.03,1.41,0.05,NA,0.38,NA,NA,0.22,0.01,0.19,0.22,NA,18.6,1.58,0.01,NA,NA,NA,0.07,0.18,0.17,0.01,0.01,NA,0.01,8.51,0.01,NA,NA,NA,0.07,0.28,0.01,0.17,0.21,1.02,0.05,4.61,1.5,0.05,NA,NA,NA,0.18,0.2,0.01,0.01,NA,0.8,2.43,3.49,NA,0.2,NA,NA
"Time",0.24,0.01,0.17,0.18,0.02,0.01,1.26,1.23,0.01,0.03,NA,NA,0.01,0.2,0.02,0.2,0.03,NA,1.27,0.01,NA,NA,NA,0.02,0.01,0.19,0.2,0.19,0.12,NA,2.51,1.41,NA,NA,NA,NA,0.23,0.18,0.21,0.16,0.01,NA,0.01,1.35,NA,NA,0.33,0.16,0.01,0.21,0.18,0.21,NA,NA,3.59,0.02,0.08,0.08,NA,NA,0.2,0.01,0.23,0.2,NA,0.02,2.49,0.03,NA,0.11,NA,NA,0.19,0.24,0.17,0.23,0.93,1.05,2.41,6.58,NA,NA,0.03,NA
"Time",0.01,0.2,0.2,0.18,NA,0.01,1.24,1.27,NA,0.13,NA,NA,0.24,0.19,0.01,0.01,0.01,16.57,1.32,2.42,NA,0.12,0.28,NA,0.17,0.22,0.19,0.27,NA,NA,0.01,0.02,NA,NA,0.01,NA,0.22,0.17,0.28,0.04,0.11,NA,2.5,3.47,0.15,NA,NA,NA,0.2,0.34,0.23,0.17,0.02,NA,0.04,1.46,NA,0.06,NA,NA,0.2,0.29,0.01,0.18,0.02,NA,1.55,0.01,NA,0.02,NA,NA,0.02,0.18,0.18,0.17,0.82,1.21,7.48,2.41,NA,NA,NA,NA
"Time",0.2,0.18,0.2,0.19,NA,NA,0.02,1.44,0.01,0.04,NA,NA,0.24,0.17,0.19,0.16,NA,10.45,1.4,1.25,NA,NA,NA,NA,0.19,0.27,0.21,0.02,NA,10.57,1.46,1.39,NA,NA,NA,NA,0.21,0.01,0.25,0.2,NA,NA,1.45,1.3,0.01,NA,0.17,NA,0.01,0.2,0.21,0.16,NA,2.53,0.02,2.46,NA,NA,NA,NA,0.19,0.28,0.17,0.19,0.01,0.05,0.02,0.06,NA,NA,0.45,0.19,0.19,0.01,0.01,0.18,NA,2.54,0.06,2.45,0.35,0.2,NA,NA
"Time",0.25,0.19,0.2,0.25,NA,0.01,0.02,0.01,0.09,0.72,NA,NA,0.22,0.17,0.01,0.17,NA,NA,3.68,1.28,NA,NA,NA,NA,0.01,0.02,0.2,0.22,NA,0.03,1.47,1.43,NA,NA,NA,0.01,0.19,0.01,0.01,0.15,NA,0.02,1.32,3.58,NA,NA,NA,NA,0.18,0.21,0.24,0.01,NA,0.95,0.01,0.03,NA,0.23,NA,NA,0.01,0.21,0.17,0.21,0.03,NA,2.55,2.36,0.01,0.22,NA,NA,0.22,0.18,0.2,0.22,0.01,4.59,0.01,2.76,0.02,NA,0.12,0.04
"Time",0.21,0.22,0.01,0.23,0.01,0.01,1.22,0.01,0.14,NA,NA,NA,0.01,0.21,0.23,0.19,NA,0.02,1.26,1.31,NA,0.01,NA,NA,0.23,0.21,0.18,0.01,0.02,NA,1.58,2.54,0.01,NA,NA,NA,0.22,0.21,0.25,0.17,0.95,NA,0.03,1.34,NA,NA,0.12,NA,0.22,0.2,0.01,0.24,1.12,0.01,0.05,5.53,NA,NA,0.08,0.07,0.21,0.19,0.19,0.15,NA,NA,0.03,1.53,NA,0.07,NA,NA,0.01,0.01,0.23,0.23,NA,0.02,0.05,0.03,NA,NA,0.02,NA
"Time",0.21,0.01,0.17,0.2,NA,0.01,0.05,1.27,NA,NA,NA,NA,0.31,0.2,0.21,0.2,NA,NA,2.42,1.49,0.09,0.04,0.06,NA,0.25,0.22,0.23,0.2,NA,0.01,1.39,0.01,0.07,NA,NA,NA,0.24,0.2,0.02,0.2,NA,0.01,1.39,2.48,0.16,NA,NA,NA,0.19,0.01,0.24,0.21,NA,9.65,4.51,0.07,NA,NA,NA,NA,0.01,0.19,0.01,0.19,NA,NA,1.35,5.45,NA,0.05,NA,NA,0.29,0.22,0.2,0.18,NA,7.81,2.41,0.01,NA,NA,0.11,NA
"Time",0.22,0.23,0.18,0.2,NA,0.04,1.53,1.36,NA,0.04,0.02,NA,0.23,0.2,0.18,0.01,NA,NA,1.42,1.49,NA,NA,NA,NA,0.01,0.01,0.21,0.01,NA,NA,1.62,2.55,0.03,0.15,NA,0.22,0.23,0.24,0.22,0.01,NA,NA,2.66,1.51,NA,NA,0.05,0.05,0.34,0.21,0.24,0.05,NA,0.01,1.49,1.67,NA,0.12,NA,0.27,0.01,0.22,0.24,0.19,NA,12.53,0.02,5.44,NA,NA,0.07,0.01,0.22,0.2,0.19,0.2,0.82,NA,5.5,9.48,NA,NA,0.05,0.05
"Time",0.22,0.18,0.23,0.23,0.01,NA,4.37,1.29,0.02,NA,0.06,NA,0.02,0.23,0.18,0.17,0.01,19.66,1.28,1.26,0.04,0.11,NA,NA,0.21,0.3,0.01,0.2,NA,NA,1.43,0.05,0.02,NA,NA,NA,0.19,0.2,0.15,0.21,NA,NA,1.51,2.51,NA,0.05,0.03,NA,0.21,0.2,0.01,0.01,0.01,16.78,2.49,5.5,NA,NA,NA,0.03,0.21,0.17,0.01,0.01,0.04,NA,0.02,0.01,NA,NA,NA,0.01,0.01,0.17,0.19,0.01,0.09,NA,0.01,9.61,0.2,NA,NA,NA
"Time",0.25,0.25,0.24,0.01,NA,0.01,1.33,1.4,NA,NA,NA,NA,0.23,0.02,0.01,0.01,0.13,0.04,1.41,0.01,0.04,NA,NA,NA,0.22,0.02,0.19,0.16,NA,0.06,1.47,1.31,0.03,NA,NA,NA,0.17,0.19,0.01,0.01,NA,18.71,1.43,0.02,NA,NA,NA,NA,0.21,0.17,0.21,0.21,1.2,NA,2.57,5.45,NA,0.2,NA,NA,0.01,0.01,0.22,0.16,NA,0.03,2.38,1.32,0.01,NA,NA,NA,0.22,0.24,0.01,0.17,0.89,0.01,3.55,3.48,NA,NA,NA,0.12
